Bathrooms,Bedrooms,Beds,Accommodates,Guests,MinNights,MaxNights,ExtraPeople,HostListings,ResponseRate,Deposit,CleaningFee,FeeMissing,Price
1.5,4,8,10,6,6.1,1124,15,14,1,0,0,0,296.5863014
1,2,3,6,4,2.8,365,20,3,1,0,0,0,146.5342466
1,3,5,8,4,2.4,1125,15,1,1,100,84,0,159.0356164
1,1,1,2,1,1,1125,15,4,1,200,20,0,48.61643836
1,1,1,4,2,3.3,360.3,25,28,1,100,12,1,102.4125683
1,1,2,2,1,1,1125,0,3,1,40,10.2,1,64.42465753
1,1,2,3,2,1,1125,10,3,1,56,13.2,1,64.78082192
1.5,2,2,5,2,3.1,61.9,15,28,1,150,32,1,105.7917808
1,1,2,5,2,3,30,10,1,0.9,75,10,0,63.39726027
2,2,2,4,4,2.2,1125,0,90,1,200,0,0,160.4712329
1,1,2,3,1,1,365,35,3,1,190,23,1,50
2.5,2,3,6,6,3,30,0,1,0.8,100,31,1,166.7945205
1,1,1,2,1,3,7,0,2,1,0,0,0,66.28767123
1,1,1,4,2,2,1125,30,1,1,150,50,0,88.60273973
1,2,3,4,1,3,30,0,1,0.866,150,23,1,100
1.5,2,4,6,4,3,89.6,10,2,0.982,100,50,0,194.2109589
1,2,1,6,4,1,1125,40,2,0.7,150,30,0,101.8767123
3,3,7,8,1,1.3,1125,0,4,1,0,45,0,254.5068493
1,1,1,2,1,1,1125,0,1,1,32,18,1,92
2,2,3,5,4,2,365,0,3,1,400,40,0,216.1890411
1,3,4,5,1,2.5,21,0,2,0.9,150,50,0,138.5753425
1,1,2,2,2,2,7,35,2,0.7,0,15,0,62.59178082
1.5,1,2,2,1,2,14,0,4,1,20,13,1,41.5890411
1,1,2,4,2,4,90,10,1,1,0,20,0,45
1,2,2,4,4,2.2,365,0,90,1,200,0,0,144.7342466
1,4,6,6,6,5.5,35,20,2,0.5,300,45,0,166.8575342
1,1,1,2,2,2,1125,10,1,1,250,40,0,70.3369863
1,0,1,2,2,2.7,31,0,3,1,150,29.2,1,141.8164384
2,1,2,3,1,2,14,24,1,1,0,0,0,32.68767123
1,1,1,2,1,2,7,15,6,1,0,0,0,32.63835616
1,1,1,2,1,1,60,0,1,1,0,14,1,60
1,1,2,4,2,3,30,10,2,1,100,30,0,102.9917808
2,3,5,6,1,4,90,0,14,1,200,28,1,154.2191781
1,2,1,4,1,4,1125,0,2,0.83,90,25,0,100
2,2,2,6,4,2.2,365,16,90,1,200,0,0,190.3589041
2,4,8,10,8,2.1,125,0,1,1,300,100,0,247.1643836
1,3,4,6,1,3,30,0,1,1,200,30,0,125.5068493
1,1,2,4,1,2.1,27,10,3,1,150,24,1,63.01917808
1,1,2,3,2,2.6,1124,15,1,1,0,32,0,104.9643836
1,2,2,4,1,3,120,0,14,1,200,23,1,111.5671233
1,2,2,4,4,3,60,25,1,1,100,0,0,95.71232877
1,1,1,2,1,2.4,30,0,2,1,60,30,0,53.0109589
1,2,2,4,1,3,150,0,14,1,190,27,1,104.4657534
1.5,2,4,5,1,3,125,0,14,1,200,23,1,113.4465753
1,1,1,1,1,2,365,0,2,1,100,15,0,54.79452055
1,1,1,2,1,3,30,0,1,1,100,30,0,77.78082192
1,1,1,3,2,2,120,20,2,1,150,31.6,1,90.35342466
1,1,1,2,2,2,30,0,1,1,0,15,0,135.6986301
1,2,4,7,4,2.9,365,0,2,1,0,0,0,130.9315068
1,2,4,6,4,3.1,30,5,1,1,150,20,0,127.1506849
1,1,2,4,2,4,30,5,1,1,100,20,0,101.369863
1,2,4,4,1,2,30,0,2,1,0,35,0,169.5616438
1,1,1,2,1,5,31,25,1,1,84,10,0,26.68493151
1,1,1,2,1,4,125,0,14,1,200,23,1,74.25205479
1.5,3,3,5,2,2,60,20,1,1,60,10,0,37.37534247
1,2,2,6,1,3,30,0,1,1,60,30,1,155
2,1,1,2,1,2,29,5,2,1,100,2,1,45.35616438
1,1,2,4,2,2,60,20,1,1,150,30,0,60.43287671
1.5,2,2,4,4,2,14,0,2,1,0,58,0,50
1.5,1,1,2,1,1,21,0,2,1,90,10,1,60.42191781
1,0,1,2,1,1,90,0,3,1,200,14.4,1,125.9726027
2,2,3,4,1,2,1125,0,2,1,0,35,0,153.0821918
2,1,1,2,1,5,60,0,1,0.934,20,13,1,100
1,1,1,2,1,1,1125,0,2,1,40,13,1,149.8356164
1,2,3,4,1,2,90,0,1,1,215,50,1,60
2,2,5,6,4,1.1,1125,20,14,1,0,0,0,151.4191781
1,3,4,6,1,3,90,0,14,1,100,25.6,1,152.1232877
1,3,4,5,1,3,1125,0,1,1,210,65,0,149.6994536
2.5,3,3,6,1,5.2,45,0,1,1,350,60,0,220.2438356
2,4,7,10,1,1,1125,0,2,1,0,60,0,224.5753425
1,4,4,6,1,1,25,0,2,1,100,60,0,70.19178082
1,3,4,3,2,1.5,1125,15,7,1,120,45,0,124.0027397
1,3,4,5,4,3,30,15,3,1,45.8,25,1,98.49315068
1,1,2,4,2,5,28,10,1,1,200,29.4,1,75
1,2,2,5,4,3,1125,20,2,1,0,40,0,77.36986301
1,1,1,2,1,1,4,0,2,1,68,4,0,61.44383562
1,3,3,7,5,2,28,10,2,1,250,60,0,120.7643836
1.5,1,1,2,1,2,30,15,2,1,0,0,0,34.94246575
1.5,2,3,4,4,2,30,25,1,1,100,25,0,116.3972603
2,3,7,10,6,2,1125,20,2,1,150,48,0,219.5616438
1,1,1,2,1,3.9,150,0,14,1,200,12.8,1,89.00547945
1,3,4,4,4,1.5,1125,8,7,1,0,45,0,109.8164384
1,2,3,4,1,2,30,0,1,1,150,28.4,1,149.0821918
1,1,2,2,1,1,1125,0,2,1,40,7.8,1,125
1,1,1,2,1,3,160,0,1,1,90.4,15.8,1,61.56164384
1,1,1,4,2,2.5,31,10,2,1,150,27.6,1,93.63287671
1,2,4,6,4,2.3,31,0,9,1,150,22,0,102.2931507
2,3,5,6,1,2.1,29,0,1,1,0,0,0,180.5205479
1.5,1,1,2,1,2,7,15,1,0.7,0,0,0,23.01643836
1,1,2,2,1,1,365,20,1,0.96,75,10,0,49
1,2,3,4,1,2,1125,0,1,1,90,32,1,89.04931507
1,1,1,2,1,1,30,15,2,1,250,10,0,35.50958904
1,1,2,3,2,2,14,15,1,0.9,90,31,1,61.09863014
1,1,1,2,1,2,6,0,2,0.94,111,12.8,1,49
1,1,2,4,2,1,30,10,1,1,100,40,0,76.56986301
1,1,1,2,2,2,1125,10,2,1,0,0,0,47.39452055
1,1,1,2,1,2,1125,0,2,1,0,40,0,79.09041096
1,3,4,6,6,2,365,0,90,1,200,0,0,160.6082192
1,1,2,2,2,1.1,1125,10,4,1,0,7.4,1,51.06849315
1,1,1,4,2,1,1125,10,4,1,200,50,0,49.29863014
1.5,1,1,2,2,1,90,0,2,1,100,10,0,60.28219178
1.5,1,1,2,2,1,90,0,2,1,100,10,0,58.43013699
1,1,1,2,2,1,1125,10,4,1,0,0,0,88.64383562
1,1,1,1,1,2,1125,0,2,1,0,12,0,26.80821918
1,1,1,2,1,1.1,14,0,4,1,20,9,1,52.12876712
1,1,2,2,2,1.1,14,10,4,1,36,9.4,1,55.15027322
1,1,1,3,1,3,90,10,3,1,100,0,0,60
1,2,2,4,1,2,28,0,3,0.78,60,27,1,128.5753425
1,1,1,2,1,1.2,27.7,0,1,1,76,0,0,52.16393443
1,2,2,3,1,2,1125,0,1,1,0,0,0,63.09589041
1,1,1,4,2,2,40,20,1,1,100,10,0,59.29863014
2,2,2,4,1,3,150,0,1,1,175,0,0,143.5589041
1,1,1,2,1,2,43,0,1,1,85.6,15,1,77
1,1,1,2,1,7,21,0,1,1,100,25,0,55
1,1,1,2,1,2,1125,25,2,1,350,10,0,60
1,2,2,4,1,2.1,14,0,1,1,350,50,0,109.6191781
2,2,2,4,2,1,60,0,1,0.7,0,30,0,76.03013699
2,1,1,2,2,2,7,0,1,1,125,15.6,1,52.35616438
1.5,1,1,2,1,2,10,0,1,1,50,10,0,37.25205479
1,1,1,3,2,3,30,10,1,1,300,26,1,124.9125683
1.5,3,4,6,8,3,30,0,1,1,300,41,1,302.4657534
1,1,2,2,2,1.3,30,0,3,1,0,50,0,66.80821918
1,1,1,2,1,3,1125,10,1,1,80,9.4,1,31.32876712
1,1,1,2,1,2,1125,0,2,1,96,13.8,1,50
1,2,3,4,4,2.2,365,0,90,1,200,0,0,137.2493151
1,1,1,2,1,2,1125,0,2,1,100,0,0,42.21369863
1,1,1,2,1,2,1125,0,2,1,100,0,0,41.83835616
1,2,2,5,1,2,30,0,2,1,130,33,1,200
1,1,1,2,2,2,10,10,1,1,300,15,0,89.7260274
1,1,1,4,2,2.6,1125,20,1,1,0,35,0,88.7260274
1,1,2,4,2,2,1125,15,1,0.9,85,55,0,74.1260274
1,1,1,2,1,2,1125,0,1,0.84,96.2,19,1,65
1,1,1,1,1,2,1125,0,2,1,75.2,15,1,30
1,1,1,2,1,2,1125,0,1,0,85.2,16.8,1,75
1,1,1,2,1,1,14,0,1,1,81,10,0,35.97260274
1,1,1,2,2,2.2,1124,20,1,1,0,21.8,1,61.9260274
1,1,1,2,1,1.3,31,0,2,1,100,30,0,47
1,1,1,2,1,2,1125,0,1,1,0,0,0,95
1,2,2,4,1,2,1125,0,1,1,150,30,0,175
1,1,1,2,1,2,18,0,1,1,200,10,0,51.70410959
1,1,1,2,1,1,1125,15,1,1,220,13,1,55.15616438
1,3,3,4,2,3,1125,0,1,0.95,200,0,0,130
1.5,1,1,1,2,4.7,1124,40,4,0.8,100,25,0,174.9315068
1,2,3,6,4,2.2,1125,30,4,0.97,200,26,1,155.0109589
1,1,2,3,1,3,365,10,29,1,150,0,0,106.6849315
1,1,1,2,1,3,60,0,2,1,0,0,0,47.81917808
1,3,3,6,1,5.2,365,0,4,1,200,50,0,139.4109589
0.5,1,2,2,2,2,30,0,4,1,100,5,0,40.85479452
1,1,1,2,1,3,14,15,3,1,150,10,0,49
2,3,5,7,6,5,365,0,1,1,0,30,0,135.8465753
1,3,4,6,6,2,90,60,3,0.94,186,50,0,127.1506849
1,2,2,4,1,3,30,0,2,1,80,40,0,105.8547945
1,1,1,2,2,1,30,20,1,1,0,10,0,40
2,3,3,5,5,2,28,0,2,1,100,30,0,104.5205479
1,1,2,4,1,2,25,18,3,1,0,0,0,100.6657534
1,1,1,2,1,2,25,20,3,1,0,0,0,79.18630137
1,1,1,2,1,1,5,10,1,1,0,5,0,40
3,3,3,7,6,2.4,1125,50,2,1,150,60,0,262.6684932
1.5,1,1,2,1,2,10,0,1,1,200,25,0,84.03835616
1,2,3,6,1,1,1124,10,2,1,200,50,0,119.9616438
1,1,1,4,2,2.7,30,10,90,1,200,0,0,144.3041096
4,3,5,6,6,2.2,30,0,90,1,200,0,0,288.1835616
1,1,1,2,1,5.4,1124,0,1,1,300,20,0,76.45205479
1,2,2,4,1,2,1125,0,1,1,80,39.2,1,125
2,2,3,6,5,4,10,10,9,1,100,10,0,100.3561644
1,1,1,2,2,4,14,20,1,0.88,0,10,0,47.12328767
1.5,3,3,6,1,3,21,0,2,0.9,200,40,0,139.6630137
1,1,1,2,2,1,4,0,2,1,80,4,0,59.63561644
1,2,5,6,4,2.2,1125,25,4,0.97,200,37.6,1,162.7780822
2,2,3,6,4,2,100,5,90,1,200,0,0,166.1452055
1,1,1,2,1,1,1125,0,2,1,40,13,1,57.34246575
1,3,4,5,4,4.9,90,8,2,1,150,65,0,143.7150685
1.5,2,3,5,4,4.9,90,8,2,1,150,65,0,143.0520548
1,1,1,2,1,1,5,20,3,1,100,10,0,45.12328767
1,1,1,2,1,1,1125,10,1,1,0,0,0,45.60273973
1,1,2,4,2,3,1125,10,1,1,100,0,0,68.73424658
1,1,1,2,1,1,1125,0,2,1,0,0,0,38.40547945
1,1,2,3,2,1,14,25,2,1,40,4,1,69.94520548
1,2,3,4,1,2,7,0,1,1,36.2,20,0,78.80821918
1,1,1,2,1,2,45,0,1,0.978,110,13,1,50
1,2,2,6,1,3,1125,0,1,1,84,38,1,87.83561644
1.5,2,2,4,1,1.1,140,0,2,1,350,45,0,116.6986301
1,1,3,4,1,1.4,31,0,2,1,200,55,0,101.1287671
1,1,1,2,1,4,31,0,1,1,200,23,1,150
1,1,3,5,2,3.9,360,20,2,1,250,40,0,61.61369863
1,1,2,3,1,2,14,15,1,1,80,10,0,34.30136986
2,2,2,6,4,2,1125,35,1,1,0,35,0,166.8821918
1,1,1,2,2,3.3,30,50,1,1,0,30,0,92.79452055
1,1,1,2,2,2,30,0,2,1,100,20,0,63.5890411
1,1,2,3,2,3,30,15,5,1,158,23,1,172.9315068
1,1,1,2,1,5,28,0,1,1,134,18.2,1,89.4109589
1,1,2,2,1,6,60,30,1,1,100,40,0,85
1,2,3,4,1,3,31,0,1,1,0,0,0,139.0328767
1,1,1,4,2,2,1125,0,14,1,32,15,0,107.3315068
1,1,1,2,1,1,1125,25,3,0.9,300,20,0,70.35890411
1,2,3,4,1,3,1125,0,1,1,110,56.2,1,107.3835616
1,1,1,2,1,3.4,10,0,5,1,100,30,0,71.1369863
1,1,2,4,2,1.9,1125,9,1,1,0,29,0,73.69863014
1,3,5,7,4,2,7,35,1,0,230,50,0,106.9863014
1,1,1,2,2,2,1125,0,1,1,350,25,0,143.8109589
1,1,3,6,4,1.3,1125,15,1,0.942,200,20,0,74.73150685
1,1,2,4,2,4,10,10,9,1,100,8,1,70.10958904
2,3,4,6,2,2,1125,15,4,1,150,45,0,127.1232877
3,4,7,11,8,3,60,30,1,1,250,40,0,264.3835616
1,1,1,2,1,3.4,10,0,5,1,100,25,0,92.28767123
1,2,4,6,4,2,1125,5,1,1,145.4,21,1,141.7671233
1,2,4,6,4,3,1125,15,2,1,104,58,1,116.3972603
1,1,1,2,1,1,1125,0,1,1,32,18,1,54.15068493
1,1,1,4,2,2.6,365,10,90,1,200,0,0,117.5260274
1,1,1,2,1,2,30,0,1,1,0,45,0,104.8356164
1,1,1,1,1,2,14,0,1,1,120,14.6,1,23.25205479
1,1,1,2,1,5,300,0,1,1,80,35,0,74.98082192
1,1,1,2,2,2,1125,35,74,0.9,150,38,1,112.7315068
1,2,3,4,1,3,30,0,2,1,0,0,0,133.8520548
1,2,2,4,4,3,40,0,2,1,125,0,0,78.16438356
1,1,1,2,1,2.1,1125,0,1,1,70,17,1,59.12328767
1,1,2,4,2,2,1125,15,1,1,86,53,1,70
0.5,1,1,1,1,1,20,20,2,1,0,0,0,75
1,1,1,2,1,2,15,20,2,1,14,2,1,46.1369863
2.5,3,4,5,2,5,365,10,1,1,200,75,0,100.3534247
1,1,1,2,2,1,1125,15,7,1,55,19,1,47.89041096
1,1,1,1,1,2,35,10,2,1,78,16,1,40
1,1,1,1,1,1,1125,0,1,1,79,7,0,27.40273973
1,1,1,2,1,4,70,0,1,1,250,65,0,92.27671233
1,1,3,2,1,2,3,0,2,0.83,70,12,1,50
1,2,2,4,1,2,21,10,1,1,400,50,0,110
1,1,2,4,2,1,1125,20,5,1,80,40,0,64.55342466
1,1,1,2,1,3.3,90,0,1,1,200,17.4,1,121.2630137
0.5,1,1,1,1,2,25,0,2,1,0,0,0,42.13972603
1.5,2,2,4,2,1,1125,6,2,1,80,17,0,71.9260274
1,3,4,6,6,2,14,50,1,1,0,70,0,308.9315068
1,1,1,2,1,2,1125,15,2,1,50,5,0,76.24657534
1,1,1,2,1,3.4,90,0,1,0.78,200,17.4,1,121.6520548
2,2,4,7,5,3,30,10,7,1,0,0,0,131.0767123
2,2,6,6,1,2.9,28,0,7,1,250,15,1,222.3561644
1,1,1,2,1,2.5,1125,0,1,1,90,29.4,1,135.5041096
2,2,6,6,1,2.9,28,0,7,1,250,15,1,221.7534247
1,2,3,6,4,2.2,31,15,13,1,200,80,0,154.260274
1,2,3,5,4,3,1125,0,1,0.96,80,50,0,49
2,4,4,7,1,3.3,365,0,4,1,0,40,0,167.1232877
1,1,2,2,1,2,1125,10,3,1,0,0,0,42.71232877
1,2,2,5,1,6,25,0,1,0.582,210,35,1,60
2,2,5,6,1,2,365,0,1,1,100,25,0,161.6657534
1,3,5,7,6,3,120,40,3,0.94,186,50,0,295.5479452
1,2,3,6,2,2,1125,10,2,1,150,30,0,102.0273973
1,1,1,3,2,2,90,20,1,1,100,20,0,84.49041096
1,2,3,4,1,2.3,30,0,1,1,0,0,0,111.0958904
1,1,2,2,1,1,1125,17,2,1,130,20,0,50.43287671
1,1,1,2,1,2,1000,10,1,1,0,20,0,51.76164384
